x,y
13.4,74.5
13.3,73.7
13.3,73.8
13.2,73.9
13.2,74.0
13.0,74.2
13.0,72.8
12.8,72.2
13.3,72.1
11.7,68.4
11.7,68.1
11.6,68.1
11.5,68.0
11.4,67.9
11.7,68.0
11.5,67.5
11.4,67.5
11.5,67.3
11.6,67.0
11.6,67.3
11.6,67.2
11.4,66.8
11.4,66.8
11.4,66.8
16.4,77.3
15.4,77.1
15.3,76.8
15.4,76.7
15.1,76.3
15.1,75.7
15.0,75.5
15.0,75.3
15.0,75.2
14.8,75.0
15.5,74.9
15.3,74.7
15.0,74.5
14.7,74.2
14.6,73.7
16.8,89.0
16.3,86.0
16.3,83.0
16.2,82.0
16.0,79.6
16.0,79.3
15.8,79.0
15.4,78.7
15.4,78.5
15.4,77.7
15.9,78.0
15.8,77.3
15.9,77.2
15.7,76.9
15.5,76.6
14.7,74.8
14.7,74.6
15.3,74.4
15.7,74.3
15.8,73.4
15.4,73.1
14.7,73.1
14.1,72.9
13.7,72.5
13.4,71.9
12.9,71.7
12.5,71.1
12.0,77.0
11.7,78.0
11.5,77.0
14.9,73.0
14.6,70.0
14.3,69.6
14.0,69.4
13.7,68.4
14.0,68.2
13.9,67.5
13.8,67.3
13.8,66.4
13.7,65.0
13.6,64.9
13.2,64.6
12.8,64.8
12.5,65.1
10.8,65.7
10.8,65.2
10.5,64.6
10.2,63.8
10.0,62.8
10.2,61.0
10.4,68.0
10.1,59.6
9.3,57.6
8.8,55.3
8.2,53.4
7.6,52.0
7.2,57.0
12.9,73.8
12.9,73.6
12.9,73.2
12.9,73.0
12.9,72.6
12.9,76.0
12.9,72.5
12.9,72.2
12.7,72.0
12.6,71.6
12.4,71.4
12.3,79.0
12.1,76.0
12.0,75.0
12.1,72.0
11.1,67.3
11.0,67.1
10.8,66.9
10.6,66.6
10.6,66.2
10.1,65.8
10.4,65.4
10.3,65.1
10.2,64.7
10.0,64.3
9.8,63.8
9.7,63.4
9.1,66.4
8.7,66.0
8.3,65.6
7.9,64.9
7.7,64.3
7.5,63.5
7.1,62.8
6.8,62.1
6.6,61.3
6.4,65.0
6.2,59.7
14.3,75.4
14.1,75.3
14.0,74.9
13.5,74.6
13.6,74.4
13.6,74.1
13.5,74.0
13.5,73.8
13.4,73.6
13.2,73.0
13.1,73.0
13.2,73.0
13.5,72.9
13.5,72.7
13.3,72.6
13.2,72.4
13.2,72.3
13.2,72.2
13.1,72.2
13.1,72.2
12.1,72.2
12.3,72.1
12.1,72.1
12.1,72.1
12.2,72.0
12.3,71.8
9.5,48.1
9.3,54.0
9.1,49.7
8.9,48.9
8.7,48.1
8.5,47.1
8.3,46.2
8.2,45.3
9.6,68.8
9.5,68.8
9.4,68.7
9.4,68.5
9.3,68.3
9.3,68.1
9.2,68.0
9.0,67.6
8.4,67.6
8.3,67.4
8.1,67.1
8.0,66.8
7.3,66.5
6.6,66.2
7.2,65.8
13.0,62.0
12.8,69.0
12.8,59.2
